epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.031,1.90369,2.76868,2.0721,0.28719,0.20317,0.12702,0.04286,2.8645,3.42493,3.17509,0.000414823,0.000414823,0.000414823
2,383.794,1.87471,2.55498,2.11404,0.09648,0.15019,0.04778,0.01163,2.62477,3.97569,3.34999,0.000820514,0.000820514,0.000820514
3,557.913,1.83904,2.56621,2.08606,0.20988,0.24577,0.09439,0.03036,2.46467,3.86597,2.94506,0.00121521,0.00121521,0.00121521
4,728.513,1.81384,2.47294,2.04889,0.23171,0.24988,0.16544,0.04492,2.63772,3.46281,3.07132,0.0012005,0.0012005,0.0012005
5,909.785,1.77621,2.4085,2.02565,0.2041,0.28136,0.14302,0.04749,2.35242,3.53102,3.04942,0.001184,0.001184,0.001184
6,1084.74,1.73971,2.28911,1.96998,0.37014,0.34075,0.28833,0.10318,2.15375,2.61131,2.71421,0.0011675,0.0011675,0.0011675
7,1258.17,1.69845,2.21973,1.96909,0.32022,0.29964,0.2296,0.08669,2.16983,2.87045,2.81843,0.001151,0.001151,0.001151
8,1430.39,1.6835,2.15528,1.92958,0.57346,0.34021,0.35104,0.13631,2.08894,2.77704,2.61574,0.0011345,0.0011345,0.0011345
9,1603.75,1.64525,2.09894,1.90994,0.5117,0.38373,0.37302,0.13232,2.12968,2.41026,2.7629,0.001118,0.001118,0.001118
10,1775.31,1.6289,2.06077,1.90397,0.48341,0.39246,0.36957,0.14518,2.20625,2.41344,2.73289,0.0011015,0.0011015,0.0011015
11,1947.7,1.62397,1.99816,1.89125,0.50329,0.43683,0.39328,0.14309,2.10574,2.24763,2.68736,0.001085,0.001085,0.001085
12,2120.5,1.61315,1.97231,1.8754,0.37241,0.41348,0.3528,0.15688,1.95383,2.38393,2.47392,0.0010685,0.0010685,0.0010685
13,2288.68,1.60617,1.92093,1.87029,0.49171,0.47094,0.47856,0.19683,2.01656,2.08611,2.61682,0.001052,0.001052,0.001052
14,2456.58,1.59813,1.86456,1.84189,0.50922,0.48413,0.47334,0.2026,1.90506,2.03818,2.49534,0.0010355,0.0010355,0.0010355
15,2623.61,1.57264,1.82169,1.824,0.56075,0.50019,0.50291,0.23474,1.81708,1.82948,2.38073,0.001019,0.001019,0.001019
16,2791.33,1.55784,1.79556,1.81814,0.54677,0.502,0.49562,0.22163,1.80975,2.00773,2.399,0.0010025,0.0010025,0.0010025
17,2960.78,1.53918,1.77388,1.79441,0.61941,0.51162,0.53251,0.23686,1.89155,1.86004,2.4882,0.000986,0.000986,0.000986
18,3129.4,1.54693,1.77587,1.79755,0.48662,0.46878,0.46969,0.21583,1.85853,2.16361,2.40763,0.0009695,0.0009695,0.0009695
19,3296.81,1.53905,1.74813,1.80608,0.53561,0.52313,0.47238,0.20344,1.93293,2.0296,2.52973,0.000953,0.000953,0.000953
20,3461.99,1.51804,1.72621,1.78935,0.66641,0.54882,0.5683,0.26717,1.75775,1.7854,2.33212,0.0009365,0.0009365,0.0009365
21,3639.28,1.51796,1.69814,1.7776,0.61594,0.51485,0.52679,0.22918,1.90816,1.92139,2.45917,0.00092,0.00092,0.00092
22,3811.16,1.5011,1.68901,1.77265,0.61097,0.56256,0.5694,0.27369,1.76832,1.82597,2.35882,0.0009035,0.0009035,0.0009035
23,3986.37,1.48028,1.65815,1.76955,0.648,0.55833,0.60018,0.29528,1.76862,1.78304,2.31592,0.000887,0.000887,0.000887
24,4159.93,1.48249,1.63154,1.74885,0.66782,0.53645,0.59716,0.28465,1.80144,1.65649,2.37422,0.0008705,0.0008705,0.0008705
25,4331.74,1.47404,1.58066,1.7324,0.66496,0.59547,0.63949,0.31593,1.73772,1.57671,2.28717,0.000854,0.000854,0.000854
26,4504.61,1.46503,1.59955,1.74435,0.65664,0.54301,0.58332,0.28014,1.75378,1.69966,2.36717,0.0008375,0.0008375,0.0008375
27,4679.01,1.45993,1.59314,1.74501,0.65863,0.56389,0.6169,0.29834,1.73743,1.66538,2.33255,0.000821,0.000821,0.000821
28,4852.57,1.45082,1.54891,1.73381,0.68895,0.58417,0.6406,0.29468,1.76139,1.64747,2.31636,0.0008045,0.0008045,0.0008045
29,5026.3,1.44543,1.50823,1.72379,0.71361,0.59132,0.66306,0.30985,1.7748,1.54026,2.35308,0.000788,0.000788,0.000788
30,5191.38,1.44211,1.50227,1.71182,0.73023,0.61377,0.69446,0.3369,1.73032,1.49561,2.31152,0.0007715,0.0007715,0.0007715
31,5357.54,1.43194,1.50541,1.71303,0.66216,0.61498,0.62575,0.30859,1.73504,1.62068,2.32745,0.000755,0.000755,0.000755
32,5522.47,1.42651,1.48404,1.7112,0.74845,0.59111,0.631,0.30314,1.80342,1.63711,2.3816,0.0007385,0.0007385,0.0007385
33,5686.41,1.4126,1.47122,1.69913,0.65626,0.59378,0.62096,0.30704,1.74369,1.69505,2.29857,0.000722,0.000722,0.000722
34,5852.52,1.40496,1.44911,1.68743,0.74391,0.56356,0.63582,0.33878,1.63413,1.58343,2.19883,0.0007055,0.0007055,0.0007055
35,6016.73,1.40306,1.47353,1.69331,0.75177,0.60801,0.68276,0.34592,1.6796,1.4728,2.21827,0.000689,0.000689,0.000689
36,6186.56,1.40041,1.44775,1.68484,0.70124,0.59279,0.64191,0.35303,1.66319,1.42712,2.23548,0.0006725,0.0006725,0.0006725
37,6366.16,1.39211,1.40566,1.67934,0.72864,0.61984,0.68759,0.36805,1.63703,1.42734,2.21249,0.000656,0.000656,0.000656
38,6542.06,1.38435,1.41821,1.67452,0.69091,0.63216,0.67161,0.35231,1.68371,1.52246,2.21804,0.0006395,0.0006395,0.0006395
39,6718.78,1.3692,1.39387,1.65834,0.75493,0.61585,0.70459,0.38615,1.57575,1.51293,2.14301,0.000623,0.000623,0.000623
40,6892.78,1.38848,1.40017,1.66936,0.75639,0.61543,0.67874,0.35367,1.68532,1.40253,2.28112,0.0006065,0.0006065,0.0006065
41,7067.03,1.36789,1.36429,1.64871,0.72571,0.66147,0.70893,0.35587,1.67982,1.36609,2.23616,0.00059,0.00059,0.00059
42,7242.09,1.36114,1.36272,1.64596,0.73584,0.64923,0.69642,0.36725,1.61021,1.3462,2.18755,0.0005735,0.0005735,0.0005735
43,7417.74,1.35927,1.36167,1.63691,0.75893,0.64375,0.69541,0.3404,1.72112,1.53721,2.30975,0.000557,0.000557,0.000557
44,7591.37,1.33826,1.32784,1.64282,0.7737,0.6496,0.71999,0.39458,1.57142,1.29301,2.16142,0.0005405,0.0005405,0.0005405
45,7757.82,1.34155,1.33159,1.63906,0.74517,0.66154,0.71934,0.38554,1.59978,1.36448,2.13936,0.000524,0.000524,0.000524
46,7924.01,1.35274,1.33967,1.63054,0.75398,0.67145,0.73696,0.39287,1.56753,1.29945,2.14875,0.0005075,0.0005075,0.0005075
47,8088.1,1.32784,1.30472,1.62676,0.81962,0.6658,0.75498,0.41859,1.57541,1.24715,2.14109,0.000491,0.000491,0.000491
48,8252.69,1.33411,1.30091,1.61624,0.81192,0.6618,0.73893,0.40113,1.58791,1.33534,2.14513,0.0004745,0.0004745,0.0004745
49,8417.06,1.31982,1.28393,1.61092,0.7255,0.67733,0.68845,0.37131,1.5585,1.35611,2.12093,0.000458,0.000458,0.000458
50,8587.78,1.31726,1.26645,1.60363,0.79451,0.66234,0.73561,0.38929,1.60514,1.33074,2.2041,0.0004415,0.0004415,0.0004415
51,8755.82,1.30798,1.26189,1.60188,0.77856,0.67799,0.752,0.39886,1.63356,1.2983,2.21596,0.000425,0.000425,0.000425
52,8922.49,1.31136,1.27245,1.60814,0.80386,0.68386,0.73651,0.40038,1.5477,1.25476,2.13752,0.0004085,0.0004085,0.0004085
53,9092.44,1.30732,1.25769,1.61256,0.77704,0.68484,0.75592,0.39663,1.62723,1.24797,2.23807,0.000392,0.000392,0.000392
54,9262.46,1.2905,1.23574,1.58553,0.80639,0.68925,0.77389,0.41628,1.58292,1.20916,2.13707,0.0003755,0.0003755,0.0003755
55,9433.08,1.29027,1.22978,1.58091,0.80356,0.68231,0.77297,0.42009,1.56757,1.19829,2.1588,0.000359,0.000359,0.000359
56,9602.08,1.28343,1.219,1.58353,0.77505,0.69395,0.76428,0.43271,1.54355,1.20846,2.11298,0.0003425,0.0003425,0.0003425
57,9769.26,1.25852,1.19447,1.5604,0.78545,0.68771,0.76653,0.42343,1.54345,1.18568,2.12214,0.000326,0.000326,0.000326
58,9938.51,1.25772,1.16389,1.55791,0.79801,0.6899,0.77759,0.4241,1.56165,1.16675,2.14976,0.0003095,0.0003095,0.0003095
59,10103.9,1.26232,1.17415,1.55991,0.78404,0.71619,0.779,0.4244,1.54582,1.18909,2.11897,0.000293,0.000293,0.000293
60,10272.3,1.26366,1.19431,1.57577,0.78767,0.71609,0.77128,0.44052,1.48868,1.16353,2.07307,0.0002765,0.0002765,0.0002765
61,10435.6,1.16792,1.02618,1.59288,0.79998,0.70799,0.77372,0.42807,1.53297,1.18248,2.10469,0.00026,0.00026,0.00026
62,10592.5,1.13917,0.96679,1.57622,0.80616,0.72587,0.76639,0.42523,1.54254,1.15195,2.12095,0.0002435,0.0002435,0.0002435
63,10750.7,1.12464,0.95748,1.5663,0.79205,0.70048,0.75993,0.43379,1.49695,1.15117,2.07085,0.000227,0.000227,0.000227
64,10906.1,1.11566,0.94019,1.5578,0.788,0.70859,0.76549,0.4295,1.51143,1.15266,2.08803,0.0002105,0.0002105,0.0002105
65,11063.6,1.08992,0.90727,1.54693,0.81151,0.73215,0.77787,0.43649,1.52325,1.14188,2.1199,0.000194,0.000194,0.000194
66,11219.3,1.11168,0.89958,1.55678,0.82412,0.71981,0.77779,0.45161,1.45232,1.13598,2.05523,0.0001775,0.0001775,0.0001775
